q_num,q_statement,A,B,C,D,ans,explain,E
423,"A web application hosted on AWS using an Elastic Load Balancer ,multipleAmazon EC2instances ,and Amazon RDS .Which security measures fall under theresponsibility ofAWS ?(Choose two .)", Running a virus scan on EC2 instances, Protecting against IP spoofing and packet sniffing, Installing the latest security patches on the RDS instance, Encrypting communication between the EC2 instances and the Elastic Load,  CD,Balancer, Configuring security group and a network access control list ( NACL)for EC2
424,What is the benefit of elasticity in the AWS Cloud ?, Ensure web traffic is automatically spread across multiple AWS Regions, Minimize storage costs by automatically archiving log data, Enable AWS to automatically select the most cost-effective services, Automatically adjust the required compute capacity to maintain consistent, D,Explanation :https :// aimconsulting.com /insights/blog/the-elastic-cloudopportunity/,performanc 
425,The continual reduction of AWS Cloud pricing is due to :, pay-as-you go pricing, the AWS global infrastructure, economies of scale, reserved storage pricing,  C,Explanation :https://read.acloud.guru/there-are-four-reasons-to-explain-how-using-awscan-change-the-economicmodel-of-the-it-services-850dccBea1aa ?gi=3bcf6cd0e1e2,
426,A company needs Amazon S3 bucket that cannot have any public objects duetocompliance requirements .How can this be accomplished ?, Enable S3 Block Public Access from the AWS Management Console, Hold a team meeting to discuss the importance if only uploading private S3, Require all S3 objects to be manually approved before uploading, Create service to monitor all S3 uploads and remove any public uploads .,  A,objects .Explanationhttps://docs.aws.amazon.com/AmazonS3/latest/dev/access-control-blockpublic-access.html,
427,Cloud Practitioner identifies a billing issue after examining the AWS Cost andUsagereport in the AWS Management ConsolE. Which action can be taken to resolvethis ?, Open a detailed case related to billing and submit it to AWS Support for help ., Upload data describing the issue to new object in a private Amazon S3 bucket, Create a pricing application and deploy it to a right-sized Amazon EC2, Proceed with creating a new dashboard in Amazon QuickSight .,  A,instance formore information .,
428,What does the AWS Simple Monthly Calculator do ?, Compares on-premises costs to colocation environments, Estimates monthly billing based on projected usage, Estimates power consumption at existing data centers, Estimates CPU utilization, B,Explanation :https ://aws.amazon .com/blogs/aws/estimate-your-c,
429,Who is responsible for patching the guest operating system for Amazon RDS ?, The AWS Product team, The customer Database Administrator, Managed partners, AWS Support,  A,Explanation :https :// aws.amazon.com/compliance/shared-responsibilitymodel/,
430,Which AWS services may be scaled using AWS Auto Scaling ?(Choose two .), Amazon EC2, Amazon DynamoDB, Amazon S3, Amazon Route 53, AB,Explanation :https ://aws.amazon.com /autoscaling/faqs/, Amazon Redshift
431,Which of the following are benefits of AWS Global Accelerator ?(Choose two .), Reduced cost to run services on AWS, Improved availability of applications deployed on AWS, Higher durability of data stored on AWS, Decreased latency to reach applications deployed on AWS, BD,Explanation :https ://aws.amazon.com /global-accelerator/faqs/, Higher security of data stored on AWS
432,A user who wants to get help with billing and reactivate a suspended accountshouldsubmit an account and billing request to :, the AWS Support forum, AWS Abuse, an AWS Solutions Architect, AWS Support, D,Explanationhttps://aws.amazon.com/premiumsupport/knowledge-center/reactivatesuspended-accoun,
433,Which AWS Cloud best practice uses the elasticity and agility of cloudcomputing ?, Provision capacity based on past usage and theoretical peaks, Dynamically and predictively scale to meet usage demands, Build the application and infrastructure in a data center that grants physical, Break apart the application into loosely coupled components, B,"accessExplanation :In a traditional computing environment ,you provision capacitybased on anestimate of a theoretical maximum peak .This can result in periods whereexpensiveresources are sitting idle or occasions of insufficient capacity .With cloudcomputing .youcan access as much or as little capacity as you need and dynamically scale tomeet actualdemand ,whileonly paying for what you usE. ",
434,Which method helps to optimize costs of users moving to the AWS Cloud ?, Paying only for what used, Purchasing hardware before it is needed, Manually provisioning cloud resources, Purchasing for the maximum possible load, A,Explanation :https ://www.cloudmanagementinsider.com/ways-to-optimizeaws-cost/,
435,"Under the AWS shared responsibility model ,which of the following is a customerresponsibility ?", Installing security patches for the Xen and KVM hypervisors, Installing operating system patches for Amazon DynamoDB, Installing operating system security patches for Amazon EC2 database instances, Installing operating system security patches for Amazon RDS database instances, C,Explanation :https ://aws.amazon.com/compliance/shared-responsibilitymodel/,
436,"Under the AWS shared responsibility model , the security and patching of theguestoperating system is the responsibility of :", AWS Support, the customer, AWS Systems Manager, AWS Config, B,Explanation :https ://aws.amazon.com /compliance/shared-responsibilitymodel/,
437,"Which AWS service makes it easy to create and manage AWS users andgroups ,and provide them with secure access to AWS resources at no charge ?", AWS Direct Connect, Amazon Connect, AWS Identity and Access Management ( IAM), AWS Firewall Manager,  C,Explanation :https ://docs.aws.amazon.com//latest/UserGuide/console_ controllingaccess.htmlhttps ://aws.amazon.com/am/,
438,Which AWS service provides on-demand of AWS security and compliancedocumentation ?, AWS Directory Service, AWS Artifact, AWS Trusted Advisor, Amazon Inspector,  B,"Explanationhttps ://aws.amazon.com/artifact/:text=AWS%20Artifact%%20your%20go,reports% 20and%20select% 20online%20agreements.",
439,Which AWS service can be used to turn text into life-like speech ?, Amazon Polly, Amazon, Amazon Rekognition, Amazon Lex, A,"Explanation :https ://aws.amazon.com/polly/#:-:text=Amazon%20Polly% %20a%20service,synthesize % 20natural%20sounding%20human%20speech.",
440,What is one of the core principles to follow when designing a highly availableapplicationin the AWS Cloud ?, Design using a serverless architecture, Assume that all components within an application can fail, Design AWS Auto Scaling into every application, Design all components using open-source code,  B,,
441,A user needs to generate a report that outlines the status of key security checksin anAWS account .Thereport must includeThe status of Amazon bucket permissions .Whether multi-factor authentication is enabled for the AWS account root user .any security groups are configured to allow unrestricted access .Where can allthisinformation be found in one location ?, Amazon QuickSight dashboard, AWS CloudTrail trails, AWS Trusted Advisor report, IAM credential report, C,Explanationhttps://aws.amazon.com/premiumsupport/technology/trusted-advisor/bestpractice-checklist /# Security,
442,Which of the AWS global infrastructure is used to cache copies of content forfasterdelivery to users across the globe ?, AWS Regions,Availability Zones, Edge locations, Data centers, C,"Explanation :When your web traffic is geo-dispersed ,it's not always feasible andcertainlynot cost effective to replicate your entire infrastructure across the globE. A CDNprovidesyou the ability to utilize its global network of edge locations to deliver cachedcopy ofweb content such as videos ,webpages ,images and so on to your customers .Toreduceresponse time ,the CDN utilizes the nearest edge location to the customer ororiginatingrequest location in order to reduce the response timE. Throughput isdramaticallyincreased given that the web assets are delivered from cachE. For dynamicdata ,manyCDNs can be configured to retrieve data from the origin servers .https ://aws.amazon.com/caching/",
443,"Using AWS Config to record ,audit ,and evaluate changes to AWS resources toenabletraceability is an example of which AWS Well-Architected Framework pillar ?", Security, Operational excellence, Performance efficiency, Cost optimization, A,Explanationhttps://d1.awsstatic.com/whitepapers/architecture/AWS_WellArchitected_Framework.pdf(12),
444,Which features and benefits does the AWS Organizations serviceprovide ?(Choose two .), Establishing real-time communications between members of an internal team, Facilitating the use of NoSQL databases, Providing automated security checks, Implementing consolidated billing,  DE,Explanation :https ://aws.amazon.com/organizations/, Enforcing the governance of AWS accounts
445,What is the MINIMUM AWS Support plan level that will provide users with accessto theAWS Support API ?, Developer, Enterprise, Business, Basic, C,Explanation :https ://aws.amazon.com /premiumsupport/plans/,
446,Amazon EC2 instance runs only when needed yet must remain active for thedurationof the process .What is the most appropriate purchasing option ?, Dedicated Instances, Spot Instances, On-Demand Instances, Reserved Instances, C,,
447,Which AWS hybrid storage service enables a user's on-premises applications toseamlessly use AWS Cloud storage ?, AWS Backup, Amazon Connect, AWS Direct Connect, AWS Storage Gateway, D,,
448,Which of the following acts as a virtual firewall at the Amazon EC2 instance levelto controltraffic for one or more instances ?, Access keys, Virtual private gateways, Security groups, Access Control Lists ( ACL), C,Explanationhttps ://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-securitygroups.html,
449,Which AWS service enables users to create copies of resources across AWSRegions ?, Amazon Elasticache, AWS CloudFormation, AWS CloudTrail, AWS Systems Manager, B,,
450,"A user would like encrypt data that is received ,stored ,and managed by AWSCloudTrail .Which AWS service will provide this capability ?", AWS Secrets Manager, AWS Systems Manager, AWS Key Management Service ( AWSKMS ), AWS Certificate Manager, C,Explanation :https ://docs.aws.amazon.com/awscloudtrail/latest/userguide/dataprotection.html,
451,Which of the following are AWS compute services ?(Selecttwo .), Amazon Lightsail, AWS Systems Manager, AWS CloudFormation, AWS Batch, AD,Explanationhttps://docs.aws.amazon.com/whitepapers/latest/aws-overview/computeservices.html, Amazon Inspector
452,What is a benefit of consolidated billing for accounts ?, Access to AWS Personal Health Dashboard, Combined usage volume discounts, Improved account security, Centralized AWS IAM, B,Explanation :https ://jayendrapatil.com/aws-consolidated-billing/,
453,"Which AWS service will allow a user to set custom cost and usage limits ,and willalertwhen the thresholds are exceeded ?", AWS Organizations, AWS Budgets, Cost Explorer, AWS Trusted Advisor, B,Explanationhttps://aws.amazon.com/getting-started/hands-on/control-your-costs-freetier-budgets/,
454,Which AWS service provides the ability to detect inadvertent data leaks ofpersonallyidentifiable information ( Pll)and user credential data ?, Amazon Guard Duty, Amazon Inspector, Amazon Macie, AWS Shield, C,Explanation :https ://aws.amazon.com/macie/,
455,A company has distributed its workload on both the Cloud and some onpremisesservers .What type of architecture is this ?, Virtual private network, Virtual private cloud, Hybrid cloud, Private cloud, C,Explanation :https ://aws.amazon.com /hybrid/,
456,Which of the following describes a security best practice that can beimplemented usingAWS IAM ?, Disable AWS Management Console access for all users, Generate secret keys for every user, Grant permissions to users who are required to perform a given task only, Store AWS credentials within Amazon EC2 instances, C,Explanation :https :/ /cloudcheckr.com/cloud-security/top-5-iam-bestpractices/,
457,"What can be used to automate and manage secure ,well-architected ,multiaccount AWSenvironments ?", AWS shared responsibility model, AWS Control Tower, AWS Security Hub, AWS Well-Architected Tool, B,"Explanation :Control Tower automates the process of setting up new baselinemulti-account AWS environment that is secure ,well-architected ,andready tousE. ControlTower incorporates the knowledge that AWS Professional Service has gainedover thecourse of thousands of successful customer engagementshttps://aws.amazon.com/blogs/aws/aws-control-tower-set-up-govem-a-multiaccount-aws- environment",
458,A company needs protection from expanded distributed denial of service( DDoS)attackson its website and assistance from AWS experts during such events .Which AWSmanaged service will meet these requirements ?, AWS Shield Advanced,AWS Firewall Manager, AWS WAF, Amazon GuardDuty, A,https://docs.aws.amazon.com/waf/atest/developerguide/ddosoverview.html,
459,company's application has flexible start and end times .Which Amazon EC2pricingmodel be the MOST cost-effective ?, On-Demand Instances, Spot Instances, Reserved Instances, Dedicated Hosts, B,Explanation :https ://aws.amazon.com/ec2/pricing/,
460,"Under the AWS shared responsibility model ,what are the customer's?(Choose two .)", Physical and environmental security, Physical network devices including firewalls, Storage device decommissioning, Security of data in transit,  DE,, Data integrity authentication
461,"Which AWS container service will help a user install , operate ,and scale theclustermanagement infrastructure ?", Amazon Elastic Container Registry ( AmazonECR ), AWS Elastic Beanstalk, Amazon Elastic Container Service ( AmazonECS ), Amazon Elastic Block Store (AmazonEBS ), C,,
462,Which AWS service or feature allows a user to easily scale connectivity amongthousands of VPCs ?, VPC peering, AWS Transit Gateway, AWS Direct Connect, AWS Global Accelerator, B,https://aws.amazon.com/blogs/training-and-certification/explorethe-aws-transteway-networking-and-scaling-digital-course /,
463,Which of the following allows an application running on an Amazon EC2instance to securelywrite data to an Amazon bucket without using long term credentials ?, Amazon Cognito, AWS Shield, AWS IAM role, AWS IAM user access key, C,,
464,A company with a Developer-level AWS Support plan provisioned an AmazonRDS database and cannot connect to itWho should the developer contact for this level of support ?, AWS Support using a support case, AWS Professional Services, AWS technical account manager, AWS consulting partners, A,,
465,What is the purpose of having an internet gateway within VPC ?, To create a VPN connection to the VPC, To allow communication between the VPC and the Internet, To impose bandwidth constraints on traffic, load balance traffic from the Internet across Amazon instances, B,,
466,company must ensure that its endpoint for a database instance remains thesame after a singleAvailability Zone service interruption .The application needs to resume databaseoperationswithout the need for manual administrative intervention .How can theserequirements be met ?, Use multiple Amazon Route 53 routes to the standby database instance, Configure Amazon RDS Multi-Availability Zone deployments with automatic, Add multiple Application Load Balancers and deploy the database instance, Deploy a single Network Load Balancer to distribute incoming traffic across, B,endpoint hosted on AWS Storage Gateway .failover to the standby .with AWS Elastic Beanstalkmultiple Amazon Cloud Front origins .,
467,Which AWS managed service can be used to distribute traffic between one ormore Amazon EC2 instances ?,NAT gateway, Elastic Load Balancing, Amazon Athena, AWS PrivateLink, B,,
468,AWS Trusted Advisor provides recommendations on which of thefollowing ?( Choosetwo .), Cost optimization, Auditing, Serverless architecture, Performance, AD,, Scalability
469,Which of the following tasks can only be performed after signing in with AWSaccount root user credentials ?( Choose two .), Closing an AWS account, Creating a new IAM policy, Changing AWS Support plans, Attaching a role to an Amazon instance,  AC,, Generating access keys for IAM users
470,Fault tolerance refers to, the ability of an application to accommodate growth without changing design, how well and how quickly an application's environment can have lost data, how secure your application is, the built-in redundancy of an application's components,  D,restored,
471,"A company operating in the AWS Cloud requires separate invoices for specificenvironments ,such as development ,testing ,and production .How can this be achieved ?", Use multiple AWS accounts, Use resource tagging, Use multiple VPCs, Use Cost Explorer, B,,
472,Which AWS service can be used in the application deployment process ?, AWS AppSync, AWS Batch, AWS CodePipeline, AWS DataSync, C,,
473,What can be used to reduce the cost of running Amazon EC2instances ?( Choose two .), Spot Instances for stateless and fiexible workloads, Memory optimized instances for high-compute workloads, On-Demand Instances for high-cost and sustained workloads, Reserved Instances for sustained workloads, AD,, Spend limits set using AWS Budgets
474,A company is launching an e-commerce site that will store and process creditcard data. The company requires information about AWS compliance reportsand AWS agreementsWhich AWS service provides on-demand access to these items ?, AWS Certificate Manager, AWS Config, AWS Artifact, AWS CloudTrail, C,,
475,Which AWS service feature allows the user to manager cross-region applicationtraffic ?, Amazon AppStream 2.0, Amazon VPC, Elastic Load Balancer, Amazon Route 53, D,,
476,Which AWS service can be used to track unauthorized calls ?, AWS Config, AWS CloudTrail, AWS Trusted Advisor, Amazon Inspector, B,,
477,"A user needs to regularly audit and evaluate the setup of all AWSresources, identify non-compliant accounts ,and be notified when a resource changes.Which AWS service can be used to meet these requirements?", AWS Trusted Advisor, AWS Config, AWS Resource Access Manager, AWS Systems Manager, B,,
478,A user is planning to launch two additional Amazon EC2 instances to increaseavailability .Which action should the user take ?, Launch the instances across multiple Availability Zones in single AWS Region ., Launch the instances as EC2 Reserved Instances in the same AWS Region and," Launch the instances in multiple AWS Regions ,but the same Availability Zone"," Launch the instances as EC2 Spot Instances in the same AWS Region ,but in", A,the sameAvailability ZonE. differentAvailability Zones .,
479,A company must store critical business data in Amazon with a backup to anotherAWS Region .How can this be achieved ?, Use an Amazon CloudFront Content Delivery Network ( CDN)to cache data, Set up Amazon cross-region replication to another AWS Region, Configure the AWS Backup service to back up to the data to another AWS, Take Amazon bucket snapshots and copy that data to another AWS Region, B,globallyRegion,
480,Which AWS Cloud service can send alerts to customers if custom spendingthresholds areexceeded ?, AWS Budgets, AWS Cost Explorer, AWS Cost Allocation Tags, AWS Organizations, A,,
481,What is the recommended method to request penetration testing on AWSresources ?, Open a support case, Fill out the Penetration Testing Request Form, Request a penetration test from your technical account manager, Contact your AWS sales representative,  B,,
482,"A user needs to automatically discover ,,and protect sensitive data stored inAmazon S3 Which AWS service can meet these requirements ?", Amazon Inspector, Amazon Macie, Amazon GuardDuty, AWS Secrets Manager, B,,
483,Which components are required to build a successful site-to-site VPNconnection onAWS ?(Choose two .), gateway, NAT gateway, Customer gateway, Transit gateway, CD,, Virtual private gateway
484,"Which Amazon EC2 pricing option is best suited for applications with shortterm ,spiky ,or unpredictable workloads that cannot be interrupted ?", Spot Instances, Dedicated Hosts, On-Demand Instances, Reserved Instances, C,,
485,Which AWS cloud architecture principle states that systems should reduceinterdependencies ?, Scalability," Services ,not servers", Removing single points of failure, Loose coupling, D,,
486,What is the MOST effective resource for staying up to date on AWS securityannouncements ?, AWS Personal Health Dashboard, AWS Secrets Manager, AWS Security Bulletins, Amazon Inspector, C,,
487,Which AWS service offers persistent storage for file system ?, Amazon, Amazon EC2 instance store, Amazon Elastic Block Store ( AmazonEBS ), Amazon Elasticache, C,,
488,Which of the following allows users to manage cost allocations for billing ?, Tagging resources, Limiting who can create resources, Adding a secondary payment method, Running all operations on a single AWS account, A,,
489,Which AWS service allows users to download security and compliance reportsabout the AWSinfrastructure on demand ?, Amazon Guard Duty, AWS Security Hub, AWS Artifact, AWS Shield, C,,
490,Which of the following AWS services are serverless ?( Choosetwo .), AWS Lambda, Amazon Elasticsearch Service, AWS Elastic Beanstalk, Amazon DynamoDB, AD,, Amazon Redshift
491,Which AWS managed services can be used to extend an on-premises datacenter to thenetwork ?(Choose two .), AWS VPN, NAT gateway, AWS Direct Connect, Amazon Connect, AC,, Amazon Route 53
492,Which requirement must be met for a member account to be unlinked from anAWSOrganizations account ?, The linked account must be actively compliant with AWS System and, The payer and the linked account must both create AWS Support cases to, The member account must meet the requirements of a standalone account ., The payer account must be used to remove the linked account from the, C,Organization Controls ( SOC)request that the member account be unlinked from the organization .organization .,
493,What AWS benefit refers to a customer's ability to deploy applications that scaleup and downthe meet variable demand ?, Elasticity, Agility, Security, Scalability, D,,
494,"During a compliance review ,one of the auditors requires a copy of the AWS 2report .Which service should be used to submit this request ?", AWS Personal Health Dashboard, AWS Trusted Advisor, AWS Artifact, Amazon 53, C,,
495,A company wants to set up a highly available workload in AWS with a disasterrecovery plan that will allow the company to recover in case of a regional serviceinterruptionWhich configuration will meet these requirements ?," Run on two Availability Zones in one AWS Region ,using the additional"," Run on two Availability Zones in one AWS Region ,using another AWS Region"," Run on two Availability Zones in one AWS Region ,using a local AWS Region"," Run across two AWS Regions ,using a third AWS Region for the disaster", B,Availability Zones in the AWS Region for the disaster recovery sitE. for the disaster recovery sitE. for the disaster recovery sitehttps://aws.amazon.com/blogs/startups/large-scale-disasterrecovery-using-aws-regions /,recovery sit 
496,A company has a 500 TB image repository that needs to be transported to Awsfor processing . Which AWS service can import this data MOST cost-effectively ?, AWS Snowball, AWS Direct Connect, AWS VPN, Amazon $ 3, A,https://aws.amazon.com/blogs/storage/migrating-hundreds-of-tbof-data-to-amazo n-53-with -aws-datasync /,
497,Which AWS service can run managed PostgresQL database that provides onlinetransactionprocessing ( OLTP)?, Amazon DynamoDB, Amazon Athena, Amazon RDS, Amazon EMR, C,Explanation :https:/ /aws.amazon.com/rds/postgresql/,
498,Which of the following assist in identifying costs by department ?( Choose two .), Using tags on resources, Using multiple AWS accounts, Using an account manager, Using AWS Trusted Advisor, AB,, Using Consolidated Billing
499,A company wants to allow full access to an Amazon bucket for a particular user .Which element in the $ 3bucket policy holds the user details that describe whoneeds access to the bucket ?, Principal, Action, Resource, Statement, A,,
500,Which AWS service allows for effective cost management of multiple AWSaccounts ?,AWS Organizations, AWS Trusted Advisor, AWS Direct Connect, Amazon Connect, A,https://aws.amazon.com/blogs/aws/aws-organizations-policybased-management-fo f-multiple-aws-accounts /,
501,A company is piloting new customer-facing application on Amazon ElasticCompute( AmazonEC2 )for one month .What pricing model is appropriate ?, Reserved Instances, Spot Instances, On-Demand Instances, Dedicated Hosts, C,Explanation :https:// aws.amazon.com/ec2/pricing/,
502,Which AWS tools automatically forecast future AWS costs ?, AWS Support Center, AWS Total Cost of Ownership ( TCO)Calculator, AWS Simple Monthly Calculator, Cost Explorer, D,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/ce-forecast.html,
503,"Under the AWS shared responsibility model ,which of the following is aresponsibility of AWS ?", Enabling server-side encryption for objects stored in 53, Applying AWS IAM security policies, Patching the operating system on an Amazon EC2 instance, Applying updates to the hypervisor, D,https://aws.amazon.com/compliance/shared-responsibilitymodel/?ref=wellarchitected,
504,A user is able to set up a master payer account to view consolidated billingreports through :, AWS Budgets, Amazon MaciE. , Amazon QuickSight ., AWS Organizations, D,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/consolidated-billing.html,
505,Performing operations as code is a design principle that supports which pillar ofthe AWSWell-Architected Framework ?, Performance efficiency, Operational excellence, Reliability, Security, B,https://aws.amazon.com/blogs/apn/the-5-pillars-of-the-aws-wellarchitected-framework /,
506,Which design principle is achieved by following the reliability pillar of the WellArchitected Framework ?, Vertical scaling, Manual failure recovery, Testing recovery procedures, Changing infrastructure manually, C,https://aws.amazon.com/blogs/apn/the-5-pillars-of-the-aws-well-architected-framework /,
507,What is characteristic of Convertible Reserved Instances ( RIS)?, Users can exchange Convertible for other Convertible from a different instance family, Users can exchange Convertible for other Convertible Rls in different AWS Regions., Users can sell and buy Convertible on the AWS MarketplacE. , Users can shorten the term of their Convertible Ris by merging them with other Convertible, A,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/riconvertible-exchange.htm,
508,The user is fully responsible for which action when running workloads on AWS ?, Patching the infrastructure components, Implementing controls to route application traffic, Maintaining physical and environmental controls, Maintaining the underlying infrastructure components, B,,
509,"An architecture design includes Amazon EC2 ,an Elastic Load Balancer ,andAmazon RDS .What is the BEST way to get a monthly cost estimation for thisarchitecture ?"," Open AWS Support case ,provide the architecture proposal ,and ask for a", Collect the published prices of the AWS services and calculate the monthly, Use the AWS Simple Monthly Calculator to estimate the monthly cost ., Use the AWS Total Cost of Ownership ( TCO)Calculator to estimate the, C,monthly costestimation .estimatemonthly cost .https://docs.aws.amazon.com/pricingcalculator/latest/userguide/aws-pc.pdf,
510,Which are benefits of using Amazon RDS over Amazon EC2 when runningrelational databases on AWS ?( Choose two .),  Automated backups, Schema management, Indexing of tables, Software patching, AD,https:/ /ocs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html," Extract ,transform ,and load ( ETL)management"
511,What does the Amazon Intelligent-Tiering storage class offer ?, Payment flexibility by reserving storage capacity, Long-term retention of data by copying the data to an encrypted Amazon, Automatic cost savings by moving objects between tiers based on access," Secure ,durable ,and lowest cost storage for data archival",  C,Elastic Block Store ( AmazonEBS )volumepattern changesExplanation :https:/ /aws.amazon.com/about-aws/whats-new/2018/11/s3-intelligent-tiering/,
512,company has multiple data sources across the organization and wants toconsolidate data into one data warehouseWhich AWS service can be used to meet this requirement ?, Amazon DyamoDB, Amazon Redshift, Amazon Athena, Amazon QuickSight, B,Explanation :https:// aws.amazon.com /redshift/faqs/,
513,Which AWS service can used to track resource changes and establishcompliance ?, Amazon CloudWatch, AWS Config, AWS CloudTrail, AWS Trusted Advisor, B,https://docs.aws.amazon.com/config/latest/developerguide/evaluate-config.html,
514,A user has underutilized on-premises resources .Which AWS Cloud concept can BEST address this issue ?, High availability, Elasticity, Security, Loose coupling, B,Explanation :https:/ /www.gremlin.com/blog/implementing-cost-savingstrategies-on-amazon-ec-2-with-chaos-engineering /,
515,A user has a stateful workload that will run on Amazon EC2 for the next 3 years .What is the MOST cost-effective pricing model for this workload ?, On-Demand Instances, Reserved Instances, Dedicated Instances, Spot Instances, B,A practitioner needs an Amazon EC2 instance to launch and run for 7 hourswithoutinterruptions .,
516,What is the most suitable and cost-effective option for this task ?, On-Demand Instance, Reserved Instance, Dedicated Host, Spot Instance,  A,Explanation :https:// aws.amazon.com/ec2/spot/details/,
517,Which of the following are benefits of using AWS Trusted Advisor ?( Choose two )., Providing high-performance container orchestration, Creating and rotating encryption keys, Detecting underutilized resources to save costs, Improving security by proactively monitoring the AWS environment,  CD,, Implementing enforced tagging across AWS resources
518,A developer has been hired by a large company and needs AWS credentials .Which are security best practices that should be followed ?( Choose two .), Grant the developer access to only the resources needed to perform the joB. , Share the AWS account root user credentials with the developer, Add the developer to the administrator's group in AWS IAM ., Configure a password policy that ensures the developer's password cannot,  AE,be changed, Ensure the account password policy requires minimum length
519,Which AWS storage service is designed to transfer petabytes of data in and outof the cloud ?,  AWS Storage Gateway, Amazon Glacier Deep Archive, Amazon Lightsail, AWS Snowball,  D,https://docs.aws.amazon.com /snowball/latest/ug/transferpetabytes.html,
520,Which service provides a user the ability to warehouse data in the AWS Cloud ?, Amazon EFS, Amazon Redshift, Amazon RDS, Amazon VPC,  B,Explanation :https:// aws.amazon.com/redshift/,
521,user is planning to migrate an application workload to the AWS ClouD. Which control becomes the responsibility of AWS once the migration iscomplete ?, Patching the guest operating system, Maintaining physical and environmental controls, Protecting communications and maintaining zone security, Patching specific applications, B,,
522,Which services can be used to deploy applications on AWS ?( Choose two .), AWS Elastic Beanstalk, AWS Config, AWS OpsWorks, AWS Application Discovery Service, AC,Explanation :https:/ /.awsstatic.com/whitepapers/overview-of-deploymentoptions-on-aws.pdf, Amazon Kinesis
523,"Which AWS service can be used to provide an on-demand ,cloud-based contactcenter ?", AWS Direct Connect, Amazon Connect, AWS Support Center, AWS Managed Services, B,Explanation :https:// aws.amazon.com/connect/customers/,
524,What tool enables customers without an AWS account to estimate costs foralmost all AWS services ?, Cost Explorer, TCO Calculator, AWS Budgets, Simple Monthly Calculator, B,Explanation :https :// aws.amazon.com/aws-cost-management/aws-costexplorer/,
525,Which component must attached to a VPC to enable inbound Internet access ?, NAT gateway, VPC endpoint, VPN connection, Internet gateway, D,,
526,Which pricing model would result in maximum Amazon Elastic Compute Cloud( AmazonEC2 )savings for a database server that must be online for one year ?, Spot Instance, On-Demand Instance, Partial Upfront Reserved Instance, No Upfront Reserved Instance, C,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-reserved-instances.html,
527,company has a MySQL database running on a single Amazon EC2 instancE. Thecompany now requires higher availability in the event of outageWhich set of tasks would meet this requirement ?, Add an Application Load Balancer in front of the EC2 instance, Configure EC2 Auto Recovery to move the instance to another Availability, Migrate to Amazon RDS and enable Multi-AZ, Enable termination protection for the EC2 instance to avoid outages, C,Zonehttps://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZ .htm,
528,company wants to ensure that AWS Management Console users are meetingpasswordcomplexity requirements .How can the company configure password complexity ?, Using an AWS IAM user policy, Using an AWS Organizations service control policy ( SCP), Using an AWS IAM account password policy, Using an Security Hub managed insight, C,,
529,"Under the AWS shared responsibility model ,which of the following is thecustomer'sresponsibility ?", Patching guest OS and applications, Patching and fixing flaws in the infrastructure, Physical and environmental controls, Configuration of AWS infrastructure devices, A,,
530,Which of the following tasks is required to deploy a PCl-compliant workload onAWS ?, Use any service and implement controls at the application layer, Use an service that is in-scope for compliance and raise an AWS support ticket, Use any AWS service and raise an AWS support ticket to enable PCl, Use an AWS service that is in scope for compliance and apply controls at the, D,toenable PCl compliance at the application layercompliance on that serviceapplication layerExplanation :https:/ /docs.aws.amazon.com/securityhub/latest/userguide/securityhub-pci-controls .html,
531,"A company is building an application that requires the ability to send ,store ,andreceivemessages between application components .The company has anotherrequirement to processmessages in first-in ,first-out ( FIFO)order .Which AWS service should thecompany use ?", AWS Step Functions, Amazon Simple Notification Service ( AmazonSNS ), Amazon Kinesis Data Streams, Amazon Simple Queue Service ( Amazon), D,Explanation :https :// aws.amazon.com/sqs//,
532,"Any Company recently purchased Example Corp .Both companies useresources ,andAny Company wants a single aggregated bill .Which option allows Any Companyto receive a single bill ?", Example Corp .must submit a request its AWS solutions architect or AWS, Any Company must create a new support case in the AWS Support Center, Send an invitation to join the organization from Any Company's AWS," Migrate the Example Corp .VPCs ,Amazon EC2 instances ,and other resources", C,technical account manager to link the accounts and consolidate billing .requesting that both bills be combinedOrganizations master account to Example Corp .into theAny Company AWS account .https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/awsaccountbillingaboutv2 .pdf,
533,Which tool can be used to create alerts when the actual or forecasted cost ofAWS servicesexceeds a certain threshold ?, Cost Explorer, AWS Budgets, AWS Cost and Usage Report, AWS CloudTrail,  B,https://aws.amazon.com/getting-started/hands-on/control-your-costs-free-tier-budgets /,
534,"A user has limited knowledge of AWS services , but wants to quickly deploy ascalable NodE. js application in the AWS ClouD. Which service should be used todeploy the application ?", AWS CloudFormation, AWS Elastic Beanstalk, Amazon EC2, AWS OpsWorks, B,Explanation :https:/ /aws.amazon.com/elasticbeanstalk/,
535,Which AWS Trusted Advisor check is available to all users ?, Core checks, All checks, Cost optimization checks, Fault tolerance checks,  A,Explanation :https://www.amazonaws.cn/en/support/trustedadvisor/faq/#checks,
